country_name,iso3_code_x,indicator,year,coverage_value,iso3_code_y,births_2022,u5mr_status
Afghanistan,AFG,MNCH_ANC4,2018,20.9,AFG,1302.712,off_track
Afghanistan,AFG,MNCH_ANC4,2018,20.9,AFG,1324.725,off_track
Afghanistan,AFG,MNCH_ANC4,2018,20.9,AFG,1349.26,off_track
Afghanistan,AFG,MNCH_ANC4,2018,20.9,AFG,1387.559,off_track
Afghanistan,AFG,MNCH_ANC4,2020,27.6,AFG,1302.712,off_track
Afghanistan,AFG,MNCH_ANC4,2020,27.6,AFG,1324.725,off_track
Afghanistan,AFG,MNCH_ANC4,2020,27.6,AFG,1349.26,off_track
Afghanistan,AFG,MNCH_ANC4,2020,27.6,AFG,1387.559,off_track
Afghanistan,AFG,MNCH_SAB,2018,58.8,AFG,1302.712,off_track
Afghanistan,AFG,MNCH_SAB,2018,58.8,AFG,1324.725,off_track
Afghanistan,AFG,MNCH_SAB,2018,58.8,AFG,1349.26,off_track
Afghanistan,AFG,MNCH_SAB,2018,58.8,AFG,1387.559,off_track
Afghanistan,AFG,MNCH_SAB,2020,61.8,AFG,1302.712,off_track
Afghanistan,AFG,MNCH_SAB,2020,61.8,AFG,1324.725,off_track
Afghanistan,AFG,MNCH_SAB,2020,61.8,AFG,1349.26,off_track
Afghanistan,AFG,MNCH_SAB,2020,61.8,AFG,1387.559,off_track
Albania,ALB,MNCH_ANC4,2018,77.8,ALB,30.079,on_track
Albania,ALB,MNCH_ANC4,2018,77.8,ALB,29.548,on_track
Albania,ALB,MNCH_ANC4,2018,77.8,ALB,29.309,on_track
Albania,ALB,MNCH_ANC4,2018,77.8,ALB,29.062,on_track
Albania,ALB,MNCH_SAB,2018,99.8,ALB,30.079,on_track
Albania,ALB,MNCH_SAB,2018,99.8,ALB,29.548,on_track
Albania,ALB,MNCH_SAB,2018,99.8,ALB,29.309,on_track
Albania,ALB,MNCH_SAB,2018,99.8,ALB,29.062,on_track
Albania,ALB,MNCH_SAB,2020,100.0,ALB,30.079,on_track
Albania,ALB,MNCH_SAB,2020,100.0,ALB,29.548,on_track
Albania,ALB,MNCH_SAB,2020,100.0,ALB,29.309,on_track
Albania,ALB,MNCH_SAB,2020,100.0,ALB,29.062,on_track
Albania,ALB,MNCH_SAB,2021,100.0,ALB,30.079,on_track
Albania,ALB,MNCH_SAB,2021,100.0,ALB,29.548,on_track
Albania,ALB,MNCH_SAB,2021,100.0,ALB,29.309,on_track
Albania,ALB,MNCH_SAB,2021,100.0,ALB,29.062,on_track
Albania,ALB,MNCH_SAB,2022,100.0,ALB,30.079,on_track
Albania,ALB,MNCH_SAB,2022,100.0,ALB,29.548,on_track
Albania,ALB,MNCH_SAB,2022,100.0,ALB,29.309,on_track
Albania,ALB,MNCH_SAB,2022,100.0,ALB,29.062,on_track
Algeria,DZA,MNCH_ANC4,2019,69.8,DZA,991.64,on_track
Algeria,DZA,MNCH_ANC4,2019,69.8,DZA,977.837,on_track
Algeria,DZA,MNCH_ANC4,2019,69.8,DZA,958.076,on_track
Algeria,DZA,MNCH_ANC4,2019,69.8,DZA,935.085,on_track
Algeria,DZA,MNCH_SAB,2019,98.8,DZA,991.64,on_track
Algeria,DZA,MNCH_SAB,2019,98.8,DZA,977.837,on_track
Algeria,DZA,MNCH_SAB,2019,98.8,DZA,958.076,on_track
Algeria,DZA,MNCH_SAB,2019,98.8,DZA,935.085,on_track
Anguilla,AIA,MNCH_SAB,2018,100.0,AIA,0.152,on_track
Anguilla,AIA,MNCH_SAB,2018,100.0,AIA,0.15,on_track
Anguilla,AIA,MNCH_SAB,2018,100.0,AIA,0.149,on_track
Anguilla,AIA,MNCH_SAB,2019,100.0,AIA,0.152,on_track
Anguilla,AIA,MNCH_SAB,2019,100.0,AIA,0.15,on_track
Anguilla,AIA,MNCH_SAB,2019,100.0,AIA,0.149,on_track
Anguilla,AIA,MNCH_SAB,2020,100.0,AIA,0.152,on_track
Anguilla,AIA,MNCH_SAB,2020,100.0,AIA,0.15,on_track
Anguilla,AIA,MNCH_SAB,2020,100.0,AIA,0.149,on_track
Antigua and Barbuda,ATG,MNCH_SAB,2020,99.0,ATG,0.986,on_track
Antigua and Barbuda,ATG,MNCH_SAB,2020,99.0,ATG,1.053,on_track
Antigua and Barbuda,ATG,MNCH_SAB,2020,99.0,ATG,1.122,on_track
Antigua and Barbuda,ATG,MNCH_SAB,2020,99.0,ATG,1.124,on_track
Argentina,ARG,MNCH_ANC4,2020,90.4,ARG,668.352,on_track
Argentina,ARG,MNCH_ANC4,2020,90.4,ARG,655.747,on_track
Argentina,ARG,MNCH_ANC4,2020,90.4,ARG,630.707,on_track
Argentina,ARG,MNCH_ANC4,2020,90.4,ARG,624.312,on_track
Argentina,ARG,MNCH_SAB,2018,99.5,ARG,668.352,on_track
Argentina,ARG,MNCH_SAB,2018,99.5,ARG,655.747,on_track
Argentina,ARG,MNCH_SAB,2018,99.5,ARG,630.707,on_track
Argentina,ARG,MNCH_SAB,2018,99.5,ARG,624.312,on_track
Argentina,ARG,MNCH_SAB,2019,99.6,ARG,668.352,on_track
Argentina,ARG,MNCH_SAB,2019,99.6,ARG,655.747,on_track
Argentina,ARG,MNCH_SAB,2019,99.6,ARG,630.707,on_track
Argentina,ARG,MNCH_SAB,2019,99.6,ARG,624.312,on_track
Argentina,ARG,MNCH_SAB,2020,98.8,ARG,668.352,on_track
Argentina,ARG,MNCH_SAB,2020,98.8,ARG,655.747,on_track
Argentina,ARG,MNCH_SAB,2020,98.8,ARG,630.707,on_track
Argentina,ARG,MNCH_SAB,2020,98.8,ARG,624.312,on_track
Australia,AUS,MNCH_SAB,2018,98.7,AUS,319.415,on_track
