country_name,iso3_code,births_2022
WORLD,,136274.979
WORLD,,134716.137
WORLD,,131966.676
WORLD,,130866.794
Sub-Saharan Africa,,36089.504
Sub-Saharan Africa,,36738.182
Sub-Saharan Africa,,37300.352
Sub-Saharan Africa,,37898.328
Northern Africa and Western Asia,,11556.858
Northern Africa and Western Asia,,11489.952
Northern Africa and Western Asia,,11451.661
Northern Africa and Western Asia,,11369.239
Central and Southern Asia,,37935.492
Central and Southern Asia,,37322.62
Central and Southern Asia,,36933.892
Central and Southern Asia,,36901.981
Eastern and South-Eastern Asia,,28353.239
Eastern and South-Eastern Asia,,27371.168
Eastern and South-Eastern Asia,,24917.361
Eastern and South-Eastern Asia,,23477.435
Latin America and the Caribbean,,10133.251
Latin America and the Caribbean,,9914.443
Latin America and the Caribbean,,9735.16
Latin America and the Caribbean,,9593.959
Oceania (excluding Australia and New Zealand),,318.924
Oceania (excluding Australia and New Zealand),,319.967
Oceania (excluding Australia and New Zealand),,321.683
Oceania (excluding Australia and New Zealand),,322.272
Australia/New Zealand,,376.127
Australia/New Zealand,,367.231
Australia/New Zealand,,358.599
Australia/New Zealand,,361.103
Europe and Northern America,,11503.01
Europe and Northern America,,11187.821
Europe and Northern America,,10940.954
Europe and Northern America,,10938.014
More developed regions,,12762.816
More developed regions,,12391.182
More developed regions,,12125.897
More developed regions,,12116.403
Less developed regions,,123511.814
Less developed regions,,122324.196
Less developed regions,,119840.586
Less developed regions,,118750.606
Least developed countries,,31724.699
Least developed countries,,32290.563
Least developed countries,,32768.057
Least developed countries,,33270.799
"Less developed regions, excluding least developed countries",,91784.607
"Less developed regions, excluding least developed countries",,90031.829
"Less developed regions, excluding least developed countries",,87070.308
"Less developed regions, excluding least developed countries",,85478.321
"Less developed regions, excluding China",,107827.411
"Less developed regions, excluding China",,107513.882
"Less developed regions, excluding China",,107410.267
"Less developed regions, excluding China",,107683.044
Land-locked Developing Countries (LLDC),,15916.205
Land-locked Developing Countries (LLDC),,16218.137
Land-locked Developing Countries (LLDC),,16486.37
Land-locked Developing Countries (LLDC),,16684.334
Small Island Developing States (SIDS),,1257.176
Small Island Developing States (SIDS),,1253.006
Small Island Developing States (SIDS),,1245.688
Small Island Developing States (SIDS),,1237.315
High-income countries,,12615.03
High-income countries,,12383.408
High-income countries,,12169.767
High-income countries,,12139.924
Middle-income countries,,100489.263
Middle-income countries,,98711.079
Middle-income countries,,95758.729
Middle-income countries,,94259.187
Upper-middle-income countries,,31884.574
Upper-middle-income countries,,30668.393
Upper-middle-income countries,,28022.146
Upper-middle-income countries,,26434.927
Lower-middle-income countries,,68598.584
Lower-middle-income countries,,68040.79
Lower-middle-income countries,,67731.671
Lower-middle-income countries,,67821.129
Low-income countries,,22621.697
Low-income countries,,23118.672
Low-income countries,,23566.125
Low-income countries,,24010.671
No income group available,,546.591
No income group available,,500.789
No income group available,,469.937
No income group available,,455.856
AFRICA,,42025.627
AFRICA,,42615.541
AFRICA,,43146.702
AFRICA,,43713.195
Eastern Africa,,14132.586
Eastern Africa,,14391.332
Eastern Africa,,14623.119
Eastern Africa,,14849.663
Burundi,BDI,409.406
Burundi,BDI,416.63
Burundi,BDI,421.064
Burundi,BDI,423.658
Comoros,COM,23.043
Comoros,COM,23.151
Comoros,COM,23.208
Comoros,COM,23.279
Djibouti,DJI,23.431
Djibouti,DJI,23.582
Djibouti,DJI,23.678
Djibouti,DJI,23.74
Eritrea,ERI,97.868
Eritrea,ERI,99.009
Eritrea,ERI,99.651
Eritrea,ERI,101.242
Ethiopia,ETH,3549.317
Ethiopia,ETH,3663.43
Ethiopia,ETH,3725.142
Ethiopia,ETH,3780.606
Kenya,KEN,1419.217
Kenya,KEN,1412.009
Kenya,KEN,1417.397
Kenya,KEN,1430.189
Madagascar,MDG,833.649
Madagascar,MDG,845.323
Madagascar,MDG,857.391
Madagascar,MDG,867.928
Malawi,MWI,606.213
Malawi,MWI,617.453
Malawi,MWI,627.928
Malawi,MWI,637.864
Mauritius,MUS,13.277
Mauritius,MUS,13.124
Mauritius,MUS,13.297
Mauritius,MUS,13.267
Mayotte,MYT,10.559
Mayotte,MYT,10.927
Mayotte,MYT,10.556
Mayotte,MYT,10.604
Mozambique,MOZ,1062.233
Mozambique,MOZ,1082.738
Mozambique,MOZ,1104.167
Mozambique,MOZ,1125.799
Réunion,REU,14.464
Réunion,REU,14.278
Réunion,REU,14.132
Réunion,REU,13.999
Rwanda,RWA,379.905
Rwanda,RWA,384.607
Rwanda,RWA,388.064
Rwanda,RWA,393.445
Seychelles,SYC,1.716
Seychelles,SYC,1.686
Seychelles,SYC,1.651
Seychelles,SYC,1.625
Somalia,SOM,653.281
Somalia,SOM,671.702
Somalia,SOM,688.43
Somalia,SOM,704.059
South Sudan,SSD,301.986
South Sudan,SSD,288.513
South Sudan,SSD,295.147
South Sudan,SSD,297.836
Uganda,UGA,1533.176
Uganda,UGA,1570.393
Uganda,UGA,1608.556
Uganda,UGA,1642.19
United Republic of Tanzania,TZA,2112.5
United Republic of Tanzania,TZA,2155.212
United Republic of Tanzania,TZA,2194.167
United Republic of Tanzania,TZA,2235.407
Zambia,ZMB,618.903
Zambia,ZMB,627.918
Zambia,ZMB,638.202
Zambia,ZMB,649.282
Zimbabwe,ZWE,468.496
Zimbabwe,ZWE,469.639
Zimbabwe,ZWE,471.214
Zimbabwe,ZWE,473.57
Middle Africa,,6806.756
Middle Africa,,6964.095
Middle Africa,,7117.314
Middle Africa,,7283.612
Angola,AGO,1204.595
